,dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,district,Mmm,quarter,fiscal_year
303,21_2,1/1/2020,1049,13700735,0,0,Warangal,Jan,Q4,2019
304,22_1,1/1/2020,4999,93694535,0,0,Khammam,Jan,Q4,2019
305,17_2,1/1/2020,7369,280243584,0,0,Sangareddy,Jan,Q4,2019
306,23_2,1/1/2020,3236,48049633,0,0,Suryapet,Jan,Q4,2019
307,19_4,1/1/2020,464,3913935,0,0,Kumurambheem Asifabad,Jan,Q4,2019
308,19_3,1/1/2020,1514,23052140,0,0,Mancherial,Jan,Q4,2019
309,18_2,1/1/2020,3256,21360534,0,0,Kamareddy,Jan,Q4,2019
310,19_1,1/1/2020,950,14521521,0,0,Adilabad,Jan,Q4,2019
311,14_5,1/1/2020,1512,10865635,0,0,Narayanpet,Jan,Q4,2019
312,14_4,1/1/2020,2003,16030048,0,0,Wanaparthy,Jan,Q4,2019
313,18_1,1/1/2020,5194,59314154,0,0,Nizamabad,Jan,Q4,2019
314,19_2,1/1/2020,1319,15156989,0,0,Nirmal,Jan,Q4,2019
315,21_1,1/1/2020,5252,163242605,0,0,Hanumakonda,Jan,Q4,2019
316,15_1,1/1/2020,22237,1805104882,0,0,Rangareddy,Jan,Q4,2019
